record,name,year,debut,region,team,pos,gp,k
--------x--,cyeol,2019,2019,TRK,Royal Youth,Middle,8,12
--------x--,Damonte,2019,2019,NA,Clutch Gaming,Middle,14,37
--------x--,Deftly,2019,2019,NA,Cloud9,ADC,1,5
--------x--,DeuL,2019,2019,PCS,MEGA,ADC,4,13
--------x--,DNK,2019,2019,VNM,Lowkey Esports.Vietnam,Jungle,8,15
--------x-x,Doinb,2019,2019,CN,FunPlus Phoenix,Middle,25,91
--------x--,Effort,2019,2019,KR,T1,Support,12,8
--------x--,FoFo,2019,2019,PCS,J Team,Middle,6,22
--------x-x,Fudge,2019,2019,OCE,MAMMOTH,Top,23,70
--------x--,Gaeng,2019,2019,LJL,DetonatioN FocusMe,Support,15,12
--------x--,GimGoon,2019,2019,CN,FunPlus Phoenix,Top,18,51
--------x--,Goku,2019,2019,BRL,Flamengo Esports,Middle,5,7
--------x--,Hana,2019,2019,PCS,J Team,Jungle,6,3
--------x--,Hani,2019,2019,VNM,Lowkey Esports.Vietnam,Top,8,11
--------x--,Hieu3,2019,2019,VNM,GAM Esports,Support,1,1
--------xxx,Humanoid,2019,2019,EU,Splyce,Middle,41,149
--------x--,Innaxe,2019,2019,CIS,Unicorns of Love.CIS,ADC,11,41
--------x--,Kiaya,2019,2019,VNM,GAM Esports,Middle,6,16
--------xx-,Langx,2019,2019,CN,Royal Never Give Up,Top,23,62
--------x--,Lehends,2019,2019,KR,Griffin,Support,11,10
--------x--,Leyan,2019,2019,NA,Invictus Gaming,Jungle,3,6
--------x--,Lilv,2019,2019,PCS,J Team,ADC,6,22
--------x--,Lira,2019,2019,NA,Clutch Gaming,Jungle,14,33
--------x--,Luci,2019,2019,BRL,Flamengo Esports,Support,5,3
--------x-x,Lwx,2019,2019,CN,FunPlus Phoenix,ADC,25,131
--------x--,MnM,2019,2019,PCS,Hong Kong Attitude,ADC,1,1
--------xx-,Nemesis,2019,2019,EU,Fnatic,Middle,21,61
--------x-x,Nisqy,2019,2019,NA,Cloud9,Middle,12,29
--------xxx,Nomanz,2019,2019,CIS,Unicorns of Love.CIS,Middle,30,111
--------x--,Nuclear,2019,2019,KR,DWG KIA,ADC,18,83
--------xxx,Nuguri,2019,2019,KR,DWG KIA,Top,42,106
--------x--,Pilot,2019,2019,TRK,Royal Youth,ADC,8,24
--------x--,Pop,2019,2019,PCS,MEGA,Support,4,3
--------x--,Rainbow,2019,2019,PCS,ahq eSports Club,Middle,5,14
--------x--,Rest,2019,2019,PCS,J Team,Top,6,19
--------x--,Robo,2019,2019,BRL,Flamengo Esports,Top,5,5
--------xxx,ShowMaker,2019,2019,KR,DWG KIA,Middle,54,216
--------x--,Shrimp,2019,2019,BRL,Flamengo Esports,Jungle,5,25
--------x--,Slay,2019,2019,VNM,GAM Esports,Support,5,4
--------x--,Sw0rd,2019,2019,KR,Griffin,Top,11,34
--------x-x,Tarzan,2019,2019,KR,Griffin,Jungle,22,70
--------x--,Teddy,2019,2019,KR,T1,ADC,14,59
--------x-x,Tian,2019,2019,CN,FunPlus Phoenix,Jungle,25,81
--------x--,Tolerant,2019,2019,TRK,Royal Youth,Support,8,5
--------x--,Tore,2019,2019,EU,Splyce,Support,20,10
--------x-x,Viper,2019,2019,KR,Griffin,ADC,32,127
--------x-x,Vizicsacsi,2019,2019,EU,Splyce,Top,32,81
--------x-x,Vulcan,2019,2019,NA,Clutch Gaming,Support,32,28
--------x--,Wako,2019,2019,PCS,ahq eSports Club,ADC,6,8
--------x--,Warangelus,2019,2019,LAM,Isurus,ADC,8,30
--------x--,Xerxe,2019,2019,EU,Splyce,Jungle,20,69
--------x--,Ysera,2019,2019,PCS,ahq eSports Club,Support,6,1
xx--xxxxxx-,Doublelift,2018,2011,NA,Team Liquid,ADC,47,113
x-xxx-xx---,sOAZ,2018,2011,EU,Fnatic,Top,84,6
-x-xxxxx---,Clearlove,2018,2012,CN,EDward Gaming,Jungle,50,120
-xx---xx---,Diamondprox,2018,2012,CIS,Gambit Esports,Jungle,47,99
-x----xxx--,Edward,2018,2012,CIS,Gambit Esports,Support,34,23
--x----x---,Benny,2018,2013,EU,MAD Team,Jungle,18,23
--x--xxxxx-,Impact,2018,2013,NA,Team Liquid,Top,86,210
--x-xxxx--x,Maple,2018,2013,PCS,Flash Wolves,Middle,39,135
--xx-x-xx--,Mata,2018,2013,KR,KT Rolster,Support,58,49
--xxxxxxx--,Sneaky,2018,2013,NA,Cloud9,ADC,78,248
--x-xxxx-x-,SwordArt,2018,2013,PCS,Flash Wolves,Support,52,50
--xx-xxxx--,Uzi,2018,2013,CN,Royal Never Give Up,ADC,81,399
--x-xxxxx--,Xmithie,2018,2013,NA,Team Liquid,Jungle,47,80
---xxx-x-xx,Deft,2018,2014,KR,KT Rolster,ADC,70,283
---x---x---,fabFabulous,2018,2014,TRK,SuperMassive Esports,Top,9,14
---xx-xxxx-,Rekkles,2018,2014,EU,Fnatic,ADC,75,277
---x-------,Spirit,2018,2014,KR,Kwangdong Freecs,Jungle,7,5
---x-xxxx--,Svenskeren,2018,2014,NA,Cloud9,Jungle,34,97
----xx-x---,aphromoo,2018,2015,NA,100 Thieves,Support,18,16
----x--xx--,G4,2018,2015,PCS,Ascension Gaming,Middle,14,35
----x--x---,Hjarnan,2018,2015,EU,G2 Esports,ADC,30,107
----xxxxxxx,Jensen,2018,2015,NA,Cloud9,Middle,80,283
----xxxxxx-,Karsa,2018,2015,CN,Royal Never Give Up,Jungle,52,135
----x--x-x-,Kramer,2018,2015,KR,Kwangdong Freecs,ADC,27,85
----xx-x---,Kuro,2018,2015,KR,Kwangdong Freecs,Middle,42,161
----x--xx--,Lloyd,2018,2015,PCS,Ascension Gaming,Jungle,14,20
----xxxx--x,Meiko,2018,2015,CN,EDward Gaming,Support,64,49
----xxxx--x,Meiko,2018,2015,CN,EDward Gaming,Support,64,49
----x-xx---,Pobelter,2018,2015,NA,Team Liquid,Middle,19,37
----x--xx--,Rookie,2018,2015,NA,Invictus Gaming,Middle,38,146
----xx-x---,Ryu,2018,2015,NA,100 Thieves,Middle,25,75
----x--x---,Score,2018,2015,KR,KT Rolster,Jungle,21,37
----xx-x---,Smeb,2018,2015,KR,KT Rolster,Top,44,148
----x--x--x,Ssumday,2018,2015,NA,100 Thieves,Top,22,66
-----xxx---,Ambition,2018,2016,KR,Gen.G,Jungle,33,55
-----xxxxxx,CoreJJ,2018,2016,KR,Gen.G,Support,61,55
-----xxx---,Crown,2018,2016,KR,Gen.G,Middle,39,122
-----xxx---,CuVee,2018,2016,KR,Gen.G,Top,39,99
-----x-x---,Duke,2018,2016,NA,Invictus Gaming,Top,25,63
-----x-xxx-,Jankos,2018,2016,EU,G2 Esports,Jungle,69,190
-----xxx---,Kira,2018,2016,CIS,Gambit Esports,Middle,23,53
-----xxx---,Mlxg,2018,2016,CN,Royal Never Give Up,Jungle,28,52
-----xxxxxx,Perkz,2018,2016,EU,G2 Esports,Middle,86,316
-----xxx---,PvPStejos,2018,2016,CIS,Gambit Esports,Top,23,40
-----xxx-xx,Ruler,2018,2016,KR,Gen.G,ADC,64,221
-----xxx--x,Scout,2018,2016,CN,EDward Gaming,Middle,51,186
-----x-xxx-,Wunder,2018,2016,EU,G2 Esports,Top,62,163
-----xxxx-x,Xiaohu,2018,2016,CN,Royal Never Give Up,Middle,55,140
------xx---,Betty,2018,2017,PCS,Flash Wolves,ADC,13,36
------xx---,Bigkoro,2018,2017,VNM,Phong Vũ Buffalo,ADC,13,37
------xxxx-,Broxah,2018,2017,EU,Fnatic,Jungle,57,156
------xxxx-,caPs,2018,2017,EU,Fnatic,Middle,68,249
------xxx-x,Evi,2018,2017,LJL,DetonatioN FocusMe,Top,27,56
------xx---,Fix,2018,2017,LAM,Kaos Latin Gamers,ADC,8,20
------xx---,Haru,2018,2017,KR,Gen.G,Jungle,6,14
------xx---,iBoy,2018,2017,CN,EDward Gaming,ADC,23,107
------xxx--,k1ng,2018,2017,OCE,Dire Wolves,ADC,14,35
------xx---,Letme,2018,2017,CN,Royal Never Give Up,Top,27,40
------xxx-x,Ming,2018,2017,CN,Royal Never Give Up,Support,45,32
------xx---,Naul,2018,2017,VNM,Phong Vũ Buffalo,Middle,13,34
------xx---,Palette,2018,2017,VNM,Phong Vũ Buffalo,Support,13,5
------xx---,Plugo,2018,2017,LAM,Kaos Latin Gamers,Middle,8,12
------xx---,Shernfire,2018,2017,OCE,Dire Wolves,Jungle,7,15
------xxx--,Slow,2018,2017,LAM,Kaos Latin Gamers,Support,16,4
------xx---,Tierwulf,2018,2017,LAM,Kaos Latin Gamers,Jungle,8,6
-------x---,AnDa,2018,2018,NA,100 Thieves,Jungle,6,29
-------x---,Arce,2018,2018,LAM,INFINITY,Support,8,3
-------x---,Attila,2018,2018,EU,Team Vitality,ADC,6,24
-------xx--,Baolan,2018,2018,NA,Invictus Gaming,Support,32,28
-------x---,baybay,2018,2018,PCS,G-Rex,Jungle,3,3
-------x---,BioPanther,2018,2018,OCE,Dire Wolves,Top,4,6
-------xx-x,Blaber,2018,2018,NA,Cloud9,Jungle,28,96
-------x---,Breeze,2018,2018,EU,MAD Team,ADC,6,7
-------xxxx,Bwipo,2018,2018,EU,Fnatic,Top,40,112
-------x---,Cabochard,2018,2018,EU,Team Vitality,Top,6,12
-------x---,Candy,2018,2018,PCS,G-Rex,Middle,14,38
-------xx--,Ceros,2018,2018,LJL,DetonatioN FocusMe,Middle,12,23
-------x---,Cotopaco,2018,2018,LAM,INFINITY,Middle,8,23
-------x---,Cupcake,2018,2018,OCE,Dire Wolves,Support,4,3
-------x---,dyNquedo,2018,2018,BRL,KaBuM! e-Sports,Middle,5,13
-------x---,Empt2y,2018,2018,PCS,G-Rex,Jungle,11,26
-------x---,GBM,2018,2018,TRK,SuperMassive Esports,Middle,9,24
-------x-xx,Hanabi,2018,2018,PCS,Flash Wolves,Top,24,68
-------x---,Haro,2018,2018,CN,EDward Gaming,Jungle,11,33
-------xxxx,Hylissang,2018,2018,EU,Fnatic,Support,44,37
-------xxx-,JackeyLove,2018,2018,NA,Invictus Gaming,ADC,47,201
-------x---,Jactroll,2018,2018,EU,Team Vitality,Support,6,1
-------x---,Jiizuke,2018,2018,EU,Team Vitality,Middle,6,20
-------x---,K,2018,2018,EU,MAD Team,Support,6,1
-------x---,Kiin,2018,2018,KR,Kwangdong Freecs,Top,9,16
-------x---,Kikis,2018,2018,EU,Team Vitality,Jungle,6,14
-------xxx-,Koala,2018,2018,PCS,G-Rex,Support,26,28
-------x-x-,Kongyue,2018,2018,EU,MAD Team,Jungle,9,39
-------x--x,Liang,2018,2018,EU,MAD Team,Top,18,44
-------xx--,Licorice,2018,2018,NA,Cloud9,Top,28,67
-------x---,Lodik,2018,2018,CIS,Gambit Esports,ADC,9,24
-------x---,Meliodas,2018,2018,VNM,Phong Vũ Buffalo,Jungle,5,4
-------x---,MooJin,2018,2018,PCS,Flash Wolves,Jungle,7,23
-------x---,Mowgli,2018,2018,KR,Kwangdong Freecs,Jungle,2,3
-------x---,Nate,2018,2018,LAM,Kaos Latin Gamers,Top,4,10
-------x---,Niksar,2018,2018,PCS,Ascension Gaming,ADC,4,6
-------xx--,Ning,2018,2018,NA,Invictus Gaming,Jungle,29,73
-------x---,Olleh,2018,2018,NA,Team Liquid,Support,6,4
-------x-xx,PK,2018,2018,PCS,G-Rex,Top,24,38
-------x---,Ranger,2018,2018,BRL,KaBuM! e-Sports,Jungle,5,4
-------x---,Ray,2018,2018,CN,EDward Gaming,Top,17,45
-------x---,Relic,2018,2018,LAM,INFINITY,Top,8,10
-------x---,Renn,2018,2018,LAM,INFINITY,ADC,8,32
-------x---,Rich,2018,2018,PCS,Ascension Gaming,Support,4,2
-------x---,Rikara,2018,2018,NA,100 Thieves,ADC,6,18
-------x---,Riyev,2018,2018,BRL,KaBuM! e-Sports,Support,5,3
-------xx--,Rockky,2018,2018,PCS,Ascension Gaming,Top,8,16
-------x-x-,SnowFlower,2018,2018,TRK,SuperMassive Esports,Support,21,14
-------x--x,SolidSnake,2018,2018,LAM,INFINITY,Jungle,12,23
-------xx-x,Steal,2018,2018,LJL,DetonatioN FocusMe,Jungle,23,40
-------x---,Stitch,2018,2018,PCS,G-Rex,ADC,14,66
-------x---,Stomaged,2018,2018,TRK,SuperMassive Esports,Jungle,9,12
-------xx--,TheShy,2018,2018,NA,Invictus Gaming,Top,27,97
-------x--x,TitaN,2018,2018,BRL,KaBuM! e-Sports,ADC,14,48
-------xx--,Triple,2018,2018,OCE,Dire Wolves,Middle,9,20
-------x---,TusiN,2018,2018,KR,Kwangdong Freecs,Support,9,2
-------x---,Ucal,2018,2018,KR,KT Rolster,Middle,11,32
-------x---,Udysof,2018,2018,OCE,Dire Wolves,Jungle,2,3
-------x-x-,Uniboy,2018,2018,EU,MAD Team,Middle,11,32
-------x---,viviD,2018,2018,LJL,DetonatioN FocusMe,Support,8,4
-------x---,Wadid,2018,2018,EU,G2 Esports,Support,24,11
-------x---,XuHao,2018,2018,VNM,Phong Vũ Buffalo,Jungle,1,5
-------xx-x,Yutapon,2018,2018,LJL,DetonatioN FocusMe,ADC,23,79
-------x---,Zantins,2018,2018,BRL,KaBuM! e-Sports,Top,5,8
-------x-x-,Zeitnot,2018,2018,TRK,SuperMassive Esports,ADC,21,85
-------xx--,Zeros,2018,2018,VNM,Phong Vũ Buffalo,Top,12,21
-------xx--,Zeyzal,2018,2018,NA,Cloud9,Support,28,20
xx--xxxxxx-,Doublelift,2017,2011,NA,TSM,ADC,47,113
x-xxx-xx---,sOAZ,2017,2011,EU,Fnatic,Top,84,227
-x----x----,Archie,2017,2012,VNM,GAM Esports,Top,10,17
-x-xxxxx---,Clearlove,2017,2012,CN,EDward Gaming,Jungle,50,120
-xx---xx---,Diamondprox,2017,2012,CIS,Gambit Esports,Jungle,47,99
-x----xxx--,Edward,2017,2012,CIS,Gambit Esports,Support,34,23
-xx-xxx----,PraY,2017,2012,KR,Longzhu Gaming,ADC,65,259
--xxxxx-x-x,Faker,2017,2013,KR,T1,Middle,115,419
--x--xxxxx-,Impact,2017,2013,NA,Cloud9,Top,86,210
--x-xxxx--x,Maple,2017,2013,PCS,Flash Wolves,Middle,39,135
--x-xxx----,Mithy,2017,2013,EU,G2 Esports,Support,41,21
--xxxxxxx--,Sneaky,2017,2013,NA,Cloud9,ADC,78,248
--x-xxxx-x-,SwordArt,2017,2013,PCS,Flash Wolves,Support,52,50
--xx-xxxx--,Uzi,2017,2013,CN,Royal Never Give Up,ADC,81,399
--x-xxxxx--,Xmithie,2017,2013,NA,Immortals,Jungle,47,80
---xxxxx-x-,Bjergsen,2017,2014,NA,TSM,Middle,35,110
---xxxx----,GorillA,2017,2014,KR,Longzhu Gaming,Support,52,34
---x--x----,Jesiz,2017,2014,EU,Fnatic,Support,25,20
---xx-xxxx-,Rekkles,2017,2014,EU,Fnatic,ADC,75,277
---x-xxxx--,Svenskeren,2017,2014,NA,TSM,Jungle,34,97
---xxxx----,Westdoor,2017,2014,PCS,ahq eSports Club,Middle,36,86
---x--x----,Zero,2017,2014,CN,Team WE,Support,23,12
----xxx----,AN,2017,2015,PCS,ahq eSports Club,ADC,22,70
----xxx----,Bang,2017,2015,KR,T1,ADC,65,225
----x-x----,Flame,2017,2015,NA,Immortals,Top,10,25
----x-x-x--,Huni,2017,2015,KR,T1,Top,45,122
----xxxxxxx,Jensen,2017,2015,NA,Cloud9,Middle,80,283
----xxxxxx-,Karsa,2017,2015,PCS,Flash Wolves,Jungle,52,135
----xxxx--x,Meiko,2017,2015,CN,EDward Gaming,Support,64,49
----xxx----,Mountain,2017,2015,PCS,ahq eSports Club,Jungle,22,41
----x-xx---,Pobelter,2017,2015,NA,Immortals,Middle,19,37
----xxx----,Wolf,2017,2015,KR,T1,Support,51,33
----xxx-x--,Ziv,2017,2015,PCS,ahq eSports Club,Top,28,60
----xxx---x,Zven,2017,2015,EU,G2 Esports,ADC,43,151
-----xxx---,Ambition,2017,2016,KR,Samsung Galaxy,Jungle,33,55
-----xx--x-,Biofrost,2017,2016,NA,TSM,Support,19,9
-----xx----,Blank,2017,2016,KR,T1,Jungle,19,39
-----xx----,Chawy,2017,2016,PCS,ahq eSports Club,Middle,3,4
-----xxxxxx,CoreJJ,2017,2016,KR,Samsung Galaxy,Support,61,55
-----xxx---,Crown,2017,2016,KR,Samsung Galaxy,Middle,39,122
-----xxx---,CuVee,2017,2016,KR,Samsung Galaxy,Top,39,99
-----xx----,Expect,2017,2016,EU,G2 Esports,Top,12,30
-----xx----,Hauntzer,2017,2016,NA,TSM,Top,13,30
-----xxx---,Kira,2017,2016,CIS,Gambit Esports,Middle,23,53
-----xxx---,Mlxg,2017,2016,CN,Royal Never Give Up,Jungle,28,52
-----xx----,MMD,2017,2016,PCS,Flash Wolves,Top,12,22
-----xx----,Mouse,2017,2016,CN,EDward Gaming,Top,13,19
-----xx--x-,Peanut,2017,2016,KR,T1,Jungle,33,126
-----xxxxxx,Perkz,2017,2016,EU,G2 Esports,Middle,86,316
-----xxx---,PvPStejos,2017,2016,CIS,Gambit Esports,Top,23,40
-----xxx-xx,Ruler,2017,2016,KR,Samsung Galaxy,ADC,64,221
-----xxx--x,Scout,2017,2016,CN,EDward Gaming,Middle,51,186
-----xx----,Smoothie,2017,2016,NA,Cloud9,Support,27,8
-----xx----,Trick,2017,2016,EU,G2 Esports,Jungle,12,11
-----xxxx-x,Xiaohu,2017,2016,CN,Royal Never Give Up,Middle,55,140
------x----,957,2017,2017,CN,Team WE,Top,22,53
------x----,4LaN,2017,2017,BRL,Team oNe eSports,Jungle,9,15
------x----,Absolut,2017,2017,BRL,Team oNe eSports,ADC,9,33
------x----,Albis,2017,2017,PCS,ahq eSports Club,Support,6,0
------x----,Alphari,2017,2017,EU,Misfits Gaming,Top,12,15
------x--xx,Bdd,2017,2017,KR,Longzhu Gaming,Middle,34,109
------x----,Ben,2017,2017,CN,Team WE,Support,19,7
------xx---,Betty,2017,2017,PCS,Flash Wolves,ADC,13,36
------xx---,Bigkoro,2017,2017,VNM,Young Generation,ADC,13,37
------x----,Blasting,2017,2017,CIS,Gambit Esports,ADC,4,7
------xxxx-,Broxah,2017,2017,EU,Fnatic,Jungle,57,156
------x----,Brucer,2017,2017,BRL,Team oNe eSports,Middle,4,5
------xxxx-,caPs,2017,2017,EU,Fnatic,Middle,68,249
------x----,Chippys,2017,2017,OCE,Dire Wolves,Top,5,16
------x-x--,Cody Sun,2017,2017,NA,Immortals,ADC,21,71
------x----,Condi,2017,2017,CN,Team WE,Jungle,22,33
------x----,Contractz,2017,2017,NA,Cloud9,Jungle,18,36
------x----,Crash,2017,2017,TRK,Fenerbahçe Esports,Jungle,15,19
------x----,Cuzz,2017,2017,KR,Longzhu Gaming,Jungle,9,15
------x----,Dara,2017,2017,LJL,Rampage,Support,4,0
------x-x--,Destiny,2017,2017,OCE,Dire Wolves,Support,10,6
------x----,Edger,2017,2017,BRL,Team oNe eSports,Top,9,14
------xxx-x,Evi,2017,2017,LJL,Rampage,Top,27,56
------xx---,Fix,2017,2017,LAM,Kaos Latin Gamers,ADC,8,20
------x----,Frozen,2017,2017,TRK,Fenerbahçe Esports,Middle,15,41
------x--x-,Gemini,2017,2017,PCS,Hong Kong Attitude,Jungle,7,20
------x----,Genthix,2017,2017,LAM,Lyon Gaming,Support,7,0
------x----,GodKwai,2017,2017,PCS,Hong Kong Attitude,Jungle,7,9
------x--xx,Hans sama,2017,2017,EU,Misfits Gaming,ADC,26,94
------xx---,Haru,2017,2017,KR,Samsung Galaxy,Jungle,6,14
------xx---,iBoy,2017,2017,CN,EDward Gaming,ADC,23,107
------x--x-,IgNar,2017,2017,EU,Misfits Gaming,Support,18,11
------x----,Japone,2017,2017,TRK,Fenerbahçe Esports,Support,15,4
------x----,Jirall,2017,2017,LAM,Lyon Gaming,Top,7,11
------xxx--,k1ng,2017,2017,OCE,Dire Wolves,ADC,14,35
------x-xxx,Kaiwing,2017,2017,PCS,Hong Kong Attitude,Support,39,25
------x-x-x,Khan,2017,2017,KR,Longzhu Gaming,Top,41,151
------xx---,Letme,2017,2017,CN,Royal Never Give Up,Top,27,40
------x-x--,Levi,2017,2017,VNM,GAM Esports,Jungle,13,34
------x----,MANTARRAYA,2017,2017,LAM,Kaos Latin Gamers,Top,4,5
------x----,Marfz,2017,2017,BRL,Team oNe eSports,Middle,5,14
------x----,Maxlore,2017,2017,EU,Misfits Gaming,Jungle,12,17
------xxx-x,Ming,2017,2017,CN,Royal Never Give Up,Support,45,32
------x-xx-,Mission,2017,2017,PCS,Hong Kong Attitude,Middle,28,58
------x----,Mystic,2017,2017,CN,Team WE,ADC,22,84
------xx---,Naul,2017,2017,VNM,Young Generation,Middle,13,34
------x----,Nevan,2017,2017,VNM,GAM Esports,Support,3,1
------x----,Noway,2017,2017,VNM,GAM Esports,ADC,7,28
------x-x--,Oddie,2017,2017,LAM,Lyon Gaming,Jungle,15,24
------x----,Olleh,2017,2017,NA,Immortals,Support,7,7
------x----,Optimus,2017,2017,VNM,GAM Esports,Middle,7,13
------x----,Padden,2017,2017,TRK,Fenerbahçe Esports,ADC,15,74
------xx---,Palette,2017,2017,VNM,Young Generation,Support,13,5
------xx---,Plugo,2017,2017,LAM,Kaos Latin Gamers,Middle,8,12
------x--x-,PowerOfEvil,2017,2017,EU,Misfits Gaming,Middle,18,55
------x----,Ramune,2017,2017,LJL,Rampage,Middle,4,5
------x--xx,Rascal,2017,2017,KR,Longzhu Gaming,Top,23,65
------x--x-,RedBert,2017,2017,BRL,Team oNe eSports,Support,14,11
------x----,Ren,2017,2017,VNM,Young Generation,Top,2,1
------x----,Richard,2017,2017,OCE,Dire Wolves,Middle,5,15
------x----,Riris,2017,2017,PCS,Hong Kong Attitude,Top,8,14
------x-x--,Seiya,2017,2017,LAM,Lyon Gaming,Middle,15,37
------xx---,Shernfire,2017,2017,OCE,Dire Wolves,Jungle,7,15
------xxx--,Slow,2017,2017,LAM,Kaos Latin Gamers,Support,16,4
------x----,Sya,2017,2017,VNM,GAM Esports,Support,4,3
------x----,Thaldrin,2017,2017,TRK,Fenerbahçe Esports,Top,15,14
------xx---,Tierwulf,2017,2017,LAM,Kaos Latin Gamers,Jungle,8,6
------x----,Tussle,2017,2017,LJL,Rampage,Jungle,4,4
------x-xxx,Unified,2017,2017,PCS,Hong Kong Attitude,ADC,35,89
------x-x--,Venus,2017,2017,VNM,Young Generation,Jungle,15,15
------x---x,WhiteLotus,2017,2017,LAM,Lyon Gaming,ADC,11,39
------x--x-,xiye,2017,2017,CN,Team WE,Middle,39,155
------x----,yT,2017,2017,VNM,Young Generation,Top,5,8
------x----,Yutorimoyashi,2017,2017,LJL,Rampage,ADC,4,2
xx--xxxxxx-,Doublelift,2016,2011,NA,TSM,ADC,47,113
-x-xxxxx---,Clearlove,2016,2012,CN,EDward Gaming,Jungle,50,120
-xx-xxx----,PraY,2016,2012,KR,ROX Tigers,ADC,65,259
--x-xx-----,Bengi,2016,2013,KR,T1,Jungle,62,152
--xxxxx-x-x,Faker,2016,2013,KR,T1,Middle,115,419
--x--xxxxx-,Impact,2016,2013,NA,Cloud9,Top,86,210
--xx-x-----,Looper,2016,2013,CN,Royal Never Give Up,Top,45,131
--x-xxxx--x,Maple,2016,2013,PCS,Flash Wolves,Middle,39,135
--xx-x-xx--,Mata,2016,2013,CN,Royal Never Give Up,Support,58,49
--xx-x-----,Meteos,2016,2013,NA,Cloud9,Jungle,26,64
--x-xxx----,Mithy,2016,2013,EU,G2 Esports,Support,41,21
--x-xx-----,NL,2016,2013,PCS,Flash Wolves,ADC,19,64
--xxxxxxx--,Sneaky,2016,2013,NA,Cloud9,ADC,78,248
--x-xxxx-x-,SwordArt,2016,2013,PCS,Flash Wolves,Support,52,50
--xx-xxxx--,Uzi,2016,2013,CN,Royal Never Give Up,ADC,81,399
--x-xxxxx--,Xmithie,2016,2013,NA,Counter Logic Gaming,Jungle,47,80
---xxxxx-x-,Bjergsen,2016,2014,NA,TSM,Middle,35,110
---xxx-x-xx,Deft,2016,2014,CN,EDward Gaming,ADC,70,283
---xxxx----,GorillA,2016,2014,KR,ROX Tigers,Support,52,34
---xxx-----,Korol,2016,2014,CN,EDward Gaming,Top,19,63
---xxx-----,PawN,2016,2014,CN,EDward Gaming,Middle,30,155
---x-xxxx--,Svenskeren,2016,2014,NA,TSM,Jungle,34,97
---xxxx----,Westdoor,2016,2014,PCS,ahq eSports Club,Middle,36,86
----xx-----,AmazingJ,2016,2015,CN,I May,Top,12,26
----xxx----,AN,2016,2015,PCS,ahq eSports Club,ADC,22,70
----xx-x---,aphromoo,2016,2015,NA,Counter Logic Gaming,Support,18,16
----xxx----,Bang,2016,2015,KR,T1,ADC,65,225
----xx-----,Darshan,2016,2015,NA,Counter Logic Gaming,Top,12,30
----xxxxxxx,Jensen,2016,2015,NA,Cloud9,Middle,80,283
----xxxxxx-,Karsa,2016,2015,PCS,Flash Wolves,Jungle,52,135
----xx-x---,Kuro,2016,2015,KR,ROX Tigers,Middle,42,161
----xxxx--x,Meiko,2016,2015,CN,EDward Gaming,Support,64,49
----xxx----,Mountain,2016,2015,PCS,ahq eSports Club,Jungle,22,41
----xx----x,Odoamne,2016,2015,EU,H2k-Gaming,Top,27,63
----xx-x---,Ryu,2016,2015,EU,H2k-Gaming,Middle,25,75
----xx-x---,Smeb,2016,2015,KR,ROX Tigers,Top,44,148
----xxx----,Wolf,2016,2015,KR,T1,Support,51,33
----xxx-x--,Ziv,2016,2015,PCS,ahq eSports Club,Top,28,60
----xxx---x,Zven,2016,2015,EU,G2 Esports,ADC,43,151
-----x-----,Albis,2016,2016,PCS,ahq eSports Club,Support,6,4
-----xxx---,Ambition,2016,2016,KR,Samsung Galaxy,Jungle,33,55
-----x-----,Athena,2016,2016,CN,I May,Middle,5,9
-----x-----,Avoidless,2016,2016,CN,I May,Jungle,6,11
-----x-----,BaeMe,2016,2016,CN,I May,Middle,2,8
-----xx--x-,Biofrost,2016,2016,NA,TSM,Support,19,9
-----xx----,Blank,2016,2016,KR,T1,Jungle,19,39
-----xx----,Chawy,2016,2016,PCS,ahq eSports Club,Middle,3,4
-----x-----,Chres,2016,2016,EU,Splyce,Middle,6,26
-----xxxxxx,CoreJJ,2016,2016,KR,Samsung Galaxy,Support,61,55
-----xxx---,Crown,2016,2016,KR,Samsung Galaxy,Middle,39,122
-----xxx---,CuVee,2016,2016,KR,Samsung Galaxy,Top,39,99
-----x-x---,Duke,2016,2016,KR,T1,Top,25,63
-----xx----,Expect,2016,2016,EU,G2 Esports,Top,12,30
-----x-----,FORG1VEN,2016,2016,EU,H2k-Gaming,ADC,13,36
-----xx----,Hauntzer,2016,2016,NA,TSM,Top,13,30
-----x----x,huhi,2016,2016,NA,Counter Logic Gaming,Middle,12,37
-----x-xxx-,Jankos,2016,2016,EU,H2k-Gaming,Jungle,69,190
-----x-----,Jinjiao,2016,2016,CN,I May,ADC,6,22
-----x-----,Jockster,2016,2016,BRL,INTZ,Support,6,2
-----xxx---,Kira,2016,2016,CIS,Albus NoX Luna,Middle,23,53
-----x--x--,Kobbe,2016,2016,EU,Splyce,ADC,26,110
-----x-----,Kold,2016,2016,EU,Splyce,Jungle,6,10
-----x-----,Likkrit,2016,2016,CIS,Albus NoX Luna,Support,10,14
-----x---x-,micaO,2016,2016,BRL,INTZ,ADC,11,17
-----x--xx-,Mikyx,2016,2016,EU,Splyce,Support,38,34
-----xxx---,Mlxg,2016,2016,CN,Royal Never Give Up,Jungle,28,52
-----xx----,MMD,2016,2016,PCS,Flash Wolves,Top,12,22
-----xx----,Mouse,2016,2016,CN,EDward Gaming,Top,13,19
